Time[hr],Pressure[bar],Derivative[bar]
0.0009840000000167493,0.8489999999999895,0.8027233743254478
0.0015143999999054358,1.252299999999991,1.1125446594655881
0.0020712000002731656,1.6408999999999878,1.3884710321913674
0.0026543999999830703,2.0142999999999915,1.6252700826580464
0.0032664000000295346,2.3722999999999956,1.8224052923380671
0.003909600000042701,2.7149,1.9858259518585637
0.00458400000002257,3.042100000000005,2.1174509893945865
0.005292000000054031,3.3541000000000167,2.2180387572711
0.006035999999994601,3.651299999999992,2.2904542085427924
0.00681839999992917,3.933899999999994,2.3429270955987955
0.007639200000085111,4.202699999999993,2.3786825832595397
0.008500800000092568,4.458199999999977,2.396847901157154
0.00940560000003643,4.701099999999997,2.4002431504891986
0.011354399999625286,5.152300000000025,2.383472331679297
0.012403200000115078,5.362300000000005,2.369613645989998
0.013502400000106718,5.562999999999988,2.352688048802622
0.014656800000011572,5.755299999999977,2.333957410222656
0.015868799999900318,5.939999999999998,2.314813994910234
0.017143199999964054,6.117799999999988,2.2967410599133307
