Timestamp,Rate[STM3/D],Time[hr]
2031-07-07 14:41:50,235.0,0.0
2031-07-07 17:05:50,235.0,2.399999999999864
2031-07-07 19:29:50,235.0,4.7999999999999545
2031-07-07 21:53:50,235.0,7.199999999999818
2031-07-08 00:17:50,235.0,9.599999999999907
2031-07-08 02:41:50,235.0,12.0
2031-07-08 05:05:50,235.0,14.399999999999864
2031-07-08 07:29:50,235.0,16.799999999999955
2031-07-08 09:53:50,235.0,19.199999999999815
2031-07-08 12:17:50,235.0,21.59999999999991
2031-07-08 14:41:50,235.0,24.0
2031-07-08 17:05:50,235.0,26.399999999999864
2031-07-08 19:29:50,235.0,28.799999999999955
2031-07-08 21:53:50,235.0,31.199999999999815
2031-07-09 00:17:50,235.0,33.59999999999991
2031-07-09 02:18:38,235.0,35.613384
2031-07-09 04:19:26,235.0,37.626767999999856
2031-07-09 04:19:28,0.0,37.62724799999978
2031-07-09 04:19:30,0.0,37.62775199999987
