Timestamp,Pressure[bar],Time[hr]
2031-07-07 14:41:50,331.017,0.0
2031-07-07 17:05:50,331.0183,2.399999999999864
2031-07-07 19:29:50,331.0197,4.7999999999999545
2031-07-07 21:53:50,331.021,7.199999999999818
2031-07-08 00:17:50,331.0223,9.599999999999907
2031-07-08 02:41:50,331.0236,12.0
2031-07-08 05:05:50,331.025,14.399999999999864
2031-07-08 07:29:50,331.0263,16.799999999999955
2031-07-08 09:53:50,331.0276,19.199999999999815
2031-07-08 12:17:50,331.0289,21.59999999999991
2031-07-08 14:41:50,331.0302,24.0
2031-07-08 17:05:50,331.0316,26.399999999999864
2031-07-08 19:29:50,331.0329,28.799999999999955
2031-07-08 21:53:50,331.0342,31.199999999999815
2031-07-09 00:17:50,331.0356,33.59999999999991
2031-07-09 02:18:38,331.0367,35.613384
2031-07-09 04:19:26,331.0378,37.626767999999856
2031-07-09 04:19:28,330.6064,37.62724799999978
2031-07-09 04:19:30,330.1888,37.62775199999987
